basket_id,timestamp,hour,day_of_week,is_weekend,month,purchase_type,store_id,store_name,store_format,product_channel,in_store_product_share,product_count,total_items,unique_products,avg_product_price,median_product_price,max_product_price,min_product_price,total_product_value,basket_savings,basket_value_gross,basket_value_net
BASKET-021,2021-05-02 14:53:37.744,14,6,1,5,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,9,11.0,9,2.8578,1.99,8.0,0.89,35.22,6.48,35.22,28.74
BASKET-020,2021-05-06 19:12:50.054,19,3,0,5,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,19,21.0,19,1.6495,1.0,3.55,0.6,38.44,7.34,38.44,31.1
BASKET-019,2021-05-15 11:26:06.061,11,5,1,5,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.23,1.23,1.23,1.23,1.23,0.0,52.2,52.2
BASKET-018,2021-06-22 07:37:57.603,7,1,0,6,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.27,1.27,1.27,1.27,1.27,0.0,47.65,47.65
BASKET-017,2021-07-01 19:13:17.851,19,3,0,7,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.28,1.28,1.28,1.28,1.28,0.0,21.67,21.67
BASKET-016,2021-07-18 10:15:22.975,10,6,1,7,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,2,2.0,2,0.975,0.975,1.3,0.65,1.95,0.0,49.66,49.66
BASKET-015,2021-07-18 15:48:50.393,15,6,1,7,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,13,13.0,13,1.6192,1.3,4.2,0.75,21.05,0.43,21.05,20.62
BASKET-014,2021-07-25 16:54:33.286,16,6,1,7,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,3,5.0,3,2.2833,1.0,5.0,0.85,8.55,0.0,8.55,8.55
BASKET-013,2021-08-04 18:14:52.972,18,2,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,37,43.0,37,2.1022,1.7,5.49,0.4,86.83,10.92,86.83,75.91
BASKET-012,2021-08-14 12:05:25.408,12,5,1,8,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.33,1.33,1.33,1.33,1.33,0.0,34.0,34.0
BASKET-011,2021-08-15 15:32:23.107,15,6,1,8,IN_STORE,4425,DUNFERMLINE FRE STAON,SuperStore,IN_STORE,1.0,29,32.0,29,2.3438,2.2,6.75,0.37,72.84,3.19,72.84,69.65
BASKET-010,2021-08-18 15:05:37.766,15,2,0,8,IN_STORE,2453,EDINBURGH,SuperStore,IN_STORE,1.0,18,21.0,18,1.9589,1.8,5.0,0.73,42.25,0.0,42.25,42.25
BASKET-009,2021-08-30 17:24:12.577,17,0,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,8,8.0,8,3.2162,2.375,7.0,0.8,25.73,5.0,25.73,20.73
BASKET-008,2021-08-30 17:24:51.170,17,0,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,1,1.0,1,1.6,1.6,1.6,1.6,1.6,0.0,1.6,1.6
BASKET-007,2021-09-05 12:16:17.898,12,6,1,9,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.33,1.33,1.33,1.33,1.33,0.0,38.0,38.0
BASKET-006,2021-09-10 18:40:04.764,18,4,0,9,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,15,21.0,15,3.4313,3.0,9.0,0.37,64.32,10.55,64.32,53.77
BASKET-005,2021-09-16 19:00:09.982,19,3,0,9,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,14,14.0,14,1.5321,1.55,3.0,0.2,21.45,2.76,21.45,18.45
BASKET-004,2021-09-25 17:39:11.094,17,5,1,9,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,14,14.0,14,1.7514,1.6,5.0,0.4,24.52,0.79,24.28,23.49
BASKET-003,2021-09-28 18:56:42.007,18,1,0,9,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,21,33.0,20,2.2876,2.0,5.0,0.45,61.96,0.3,61.96,61.66
BASKET-002,2021-10-22 19:00:03.283,19,4,0,10,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,4,5.0,4,3.325,3.65,4.5,1.5,17.1,1.0,18.1,17.1
BASKET-001,2021-10-30 18:37:36.766,18,5,1,10,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,24,33.0,24,2.2962,1.55,8.0,0.37,75.86,3.17,79.03,75.86
